RowIndex,TimestampMs,PpgGreen,PpgRed,PpgIr,AccX,AccY,AccZ,HeartRate,IBI_ms
Row 38 | Timestamp: 1710826327186 ms | PPG(Green=2119314, Red=2119314, Ir=2119314) | ACC(X=-0.198789656162262, Y=0.371233701705933, Z=8.96709060668945) | HR=86 bpm | IBI=769 ms | Participant=P03
Row 3317 | Timestamp: 1710826458768 ms | PPG(Green=2179373, Red=2179373, Ir=2179373) | ACC(X=4.80687761306763, Y=6.08583784103394, Z=6.20559072494507) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3318 | Timestamp: 1710826458809 ms | PPG(Green=2180865, Red=2180865, Ir=2180865) | ACC(X=4.81885290145874, Y=6.09781312942505, Z=6.14810943603516) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3319 | Timestamp: 1710826458848 ms | PPG(Green=2182416, Red=2182416, Ir=2182416) | ACC(X=4.85477876663208, Y=6.04751682281494, Z=6.17445468902588) | HR=86 bpm | IBI=0 ms | Participant=P03
Row 3320 | Timestamp: 1710826458889 ms | PPG(Green=2182972, Red=2182972, Ir=2182972) | ACC(X=4.80208778381348, Y=6.04512166976929, Z=6.12176370620728) | HR=86 bpm | IBI=0 ms | Participant=P03
Row 3321 | Timestamp: 1710826458929 ms | PPG(Green=2179179, Red=2179179, Ir=2179179) | ACC(X=4.79011249542236, Y=6.10978841781616, Z=6.22235584259033) | HR=87 bpm | IBI=0 ms | Participant=P03
Row 3322 | Timestamp: 1710826458969 ms | PPG(Green=2174055, Red=2174055, Ir=2174055) | ACC(X=4.79250764846802, Y=6.08344268798828, Z=6.15768957138062) | HR=89 bpm | IBI=0 ms | Participant=P03
Row 3323 | Timestamp: 1710826459010 ms | PPG(Green=2170557, Red=2170557, Ir=2170557) | ACC(X=4.7374210357666, Y=6.04033184051514, Z=6.1840353012085) | HR=91 bpm | IBI=0 ms | Participant=P03
Row 3324 | Timestamp: 1710826459049 ms | PPG(Green=2168963, Red=2168963, Ir=2168963) | ACC(X=4.72305059432983, Y=6.07865238189697, Z=6.18164014816284) | HR=92 bpm | IBI=0 ms | Participant=P03
Row 3325 | Timestamp: 1710826459090 ms | PPG(Green=2168456, Red=2168456, Ir=2168456) | ACC(X=4.70868062973022, Y=6.02835655212402, Z=6.21038055419922) | HR=93 bpm | IBI=0 ms | Participant=P03
Row 3326 | Timestamp: 1710826459130 ms | PPG(Green=2168818, Red=2168818, Ir=2168818) | ACC(X=4.75897645950317, Y=6.1026029586792, Z=6.1840353012085) | HR=95 bpm | IBI=0 ms | Participant=P03
Row 3327 | Timestamp: 1710826459170 ms | PPG(Green=2169391, Red=2169391, Ir=2169391) | ACC(X=4.84040832519531, Y=6.10499811172485, Z=6.21756601333618) | HR=96 bpm | IBI=0 ms | Participant=P03
Row 3328 | Timestamp: 1710826459211 ms | PPG(Green=2169595, Red=2169595, Ir=2169595) | ACC(X=4.78771734237671, Y=6.12894868850708, Z=6.16487455368042) | HR=97 bpm | IBI=0 ms | Participant=P03
Row 3329 | Timestamp: 1710826459251 ms | PPG(Green=2169575, Red=2169575, Ir=2169575) | ACC(X=4.83322334289551, Y=6.04512166976929, Z=6.14331912994385) | HR=97 bpm | IBI=0 ms | Participant=P03
Row 3330 | Timestamp: 1710826459291 ms | PPG(Green=2169422, Red=2169422, Ir=2169422) | ACC(X=4.79969263076782, Y=6.12176370620728, Z=6.23193597793579) | HR=97 bpm | IBI=0 ms | Participant=P03
Row 3331 | Timestamp: 1710826459331 ms | PPG(Green=2169842, Red=2169842, Ir=2169842) | ACC(X=4.75179147720337, Y=6.11218357086182, Z=6.17445468902588) | HR=96 bpm | IBI=0 ms | Participant=P03
Row 3332 | Timestamp: 1710826459372 ms | PPG(Green=2170440, Red=2170440, Ir=2170440) | ACC(X=4.76855707168579, Y=6.1026029586792, Z=6.24630641937256) | HR=97 bpm | IBI=0 ms | Participant=P03
Row 3333 | Timestamp: 1710826459412 ms | PPG(Green=2171525, Red=2171525, Ir=2171525) | ACC(X=4.70868062973022, Y=6.03793668746948, Z=6.20798587799072) | HR=98 bpm | IBI=0 ms | Participant=P03
Row 3334 | Timestamp: 1710826459452 ms | PPG(Green=2172799, Red=2172799, Ir=2172799) | ACC(X=4.79490232467651, Y=6.07386255264282, Z=6.24151659011841) | HR=100 bpm | IBI=0 ms | Participant=P03
Row 3335 | Timestamp: 1710826459492 ms | PPG(Green=2174252, Red=2174252, Ir=2174252) | ACC(X=4.7757420539856, Y=6.06667709350586, Z=6.16008472442627) | HR=102 bpm | IBI=0 ms | Participant=P03
Row 3336 | Timestamp: 1710826459532 ms | PPG(Green=2175576, Red=2175576, Ir=2175576) | ACC(X=4.80208778381348, Y=6.11936855316162, Z=6.16008472442627) | HR=103 bpm | IBI=0 ms | Participant=P03
Row 3337 | Timestamp: 1710826459573 ms | PPG(Green=2178490, Red=2178490, Ir=2178490) | ACC(X=4.76376676559448, Y=6.06907224655151, Z=6.15768957138062) | HR=106 bpm | IBI=0 ms | Participant=P03
Row 3338 | Timestamp: 1710826459614 ms | PPG(Green=2179842, Red=2179842, Ir=2179842) | ACC(X=4.76137161254883, Y=6.10739326477051, Z=6.16247940063477) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3339 | Timestamp: 1710826459653 ms | PPG(Green=2181231, Red=2181231, Ir=2181231) | ACC(X=4.81645822525024, Y=6.09541797637939, Z=6.22714614868164) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3340 | Timestamp: 1710826459694 ms | PPG(Green=2182530, Red=2182530, Ir=2182530) | ACC(X=4.7302360534668, Y=6.1002082824707, Z=6.16247940063477) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3341 | Timestamp: 1710826459734 ms | PPG(Green=2183803, Red=2183803, Ir=2183803) | ACC(X=4.78532218933105, Y=6.10499811172485, Z=6.21038055419922) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3342 | Timestamp: 1710826459774 ms | PPG(Green=2183750, Red=2183750, Ir=2183750) | ACC(X=4.83801364898682, Y=6.07865238189697, Z=6.14331912994385) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3343 | Timestamp: 1710826459815 ms | PPG(Green=2178976, Red=2178976, Ir=2178976) | ACC(X=4.81885290145874, Y=6.12655353546143, Z=6.19361543655396) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3344 | Timestamp: 1710826459854 ms | PPG(Green=2173396, Red=2173396, Ir=2173396) | ACC(X=4.75179147720337, Y=6.06188726425171, Z=6.12655353546143) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3345 | Timestamp: 1710826459894 ms | PPG(Green=2169615, Red=2169615, Ir=2169615) | ACC(X=4.76616191864014, Y=6.1026029586792, Z=6.18882513046265) | HR=120 bpm | IBI=401 ms | Participant=P03
Row 3346 | Timestamp: 1710826459934 ms | PPG(Green=2167680, Red=2167680, Ir=2167680) | ACC(X=4.82124805450439, Y=6.08104753494263, Z=6.1912202835083) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3347 | Timestamp: 1710826459975 ms | PPG(Green=2166853, Red=2166853, Ir=2166853) | ACC(X=4.76616191864014, Y=6.05470180511475, Z=6.23433113098145) | HR=120 bpm | IBI=0 ms | Participant=P03
Row 3348 | Timestamp: 1710826460015 ms | PPG(Green=2166990, Red=2166990, Ir=2166990) | ACC(X=4.75897645950317, Y=6.11936855316162, Z=6.21038055419922) | HR=121 bpm | IBI=0 ms | Participant=P03
Row 3349 | Timestamp: 1710826460055 ms | PPG(Green=2167147, Red=2167147, Ir=2167147) | ACC(X=4.80448293685913, Y=6.13134384155273, Z=6.16247940063477) | HR=122 bpm | IBI=0 ms | Participant=P03
Row 3350 | Timestamp: 1710826460095 ms | PPG(Green=2166831, Red=2166831, Ir=2166831) | ACC(X=4.80927276611328, Y=6.16726970672607, Z=6.17684984207153) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3351 | Timestamp: 1710826460135 ms | PPG(Green=2166194, Red=2166194, Ir=2166194) | ACC(X=4.79011249542236, Y=6.20080041885376, Z=6.19601058959961) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3352 | Timestamp: 1710826460175 ms | PPG(Green=2165861, Red=2165861, Ir=2165861) | ACC(X=4.84280347824097, Y=6.09062767028809, Z=6.15289926528931) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3353 | Timestamp: 1710826460216 ms | PPG(Green=2165915, Red=2165915, Ir=2165915) | ACC(X=4.74221134185791, Y=6.09541797637939, Z=6.15289926528931) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3354 | Timestamp: 1710826460256 ms | PPG(Green=2166513, Red=2166513, Ir=2166513) | ACC(X=4.80687761306763, Y=6.16487455368042, Z=6.16008472442627) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3355 | Timestamp: 1710826460296 ms | PPG(Green=2167358, Red=2167358, Ir=2167358) | ACC(X=4.76616191864014, Y=6.13613414764404, Z=6.16008472442627) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3356 | Timestamp: 1710826460336 ms | PPG(Green=2168357, Red=2168357, Ir=2168357) | ACC(X=4.7805323600769, Y=6.16966485977173, Z=6.11457824707031) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3357 | Timestamp: 1710826460376 ms | PPG(Green=2169671, Red=2169671, Ir=2169671) | ACC(X=4.82124805450439, Y=6.13852882385254, Z=6.1457142829895) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3358 | Timestamp: 1710826460417 ms | PPG(Green=2171014, Red=2171014, Ir=2171014) | ACC(X=4.82124805450439, Y=6.12655353546143, Z=6.22475099563599) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3359 | Timestamp: 1710826460457 ms | PPG(Green=2172220, Red=2172220, Ir=2172220) | ACC(X=4.7805323600769, Y=6.11218357086182, Z=6.14092397689819) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3360 | Timestamp: 1710826460497 ms | PPG(Green=2173687, Red=2173687, Ir=2173687) | ACC(X=4.79729747772217, Y=6.1026029586792, Z=6.14092397689819) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3361 | Timestamp: 1710826460537 ms | PPG(Green=2174813, Red=2174813, Ir=2174813) | ACC(X=4.72305059432983, Y=6.11218357086182, Z=6.22714614868164) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3362 | Timestamp: 1710826460577 ms | PPG(Green=2176135, Red=2176135, Ir=2176135) | ACC(X=4.79490232467651, Y=6.14810943603516, Z=6.16966485977173) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3363 | Timestamp: 1710826460618 ms | PPG(Green=2177474, Red=2177474, Ir=2177474) | ACC(X=4.74460649490356, Y=6.16726970672607, Z=6.15050411224365) | HR=128 bpm | IBI=0 ms | Participant=P03
Row 3364 | Timestamp: 1710826460657 ms | PPG(Green=2175670, Red=2175670, Ir=2175670) | ACC(X=4.72065591812134, Y=6.16966485977173, Z=6.10978841781616) | HR=128 bpm | IBI=0 ms | Participant=P03
Row 3365 | Timestamp: 1710826460698 ms | PPG(Green=2169747, Red=2169747, Ir=2169747) | ACC(X=4.71347045898438, Y=6.14810943603516, Z=6.21277570724487) | HR=127 bpm | IBI=0 ms | Participant=P03
Row 3366 | Timestamp: 1710826460738 ms | PPG(Green=2163927, Red=2163927, Ir=2163927) | ACC(X=4.75658178329468, Y=6.10739326477051, Z=6.12176370620728) | HR=127 bpm | IBI=0 ms | Participant=P03
Row 3367 | Timestamp: 1710826460779 ms | PPG(Green=2160064, Red=2160064, Ir=2160064) | ACC(X=4.73981618881226, Y=6.12894868850708, Z=6.13373899459839) | HR=127 bpm | IBI=0 ms | Participant=P03
Row 3368 | Timestamp: 1710826460820 ms | PPG(Green=2158405, Red=2158405, Ir=2158405) | ACC(X=4.76376676559448, Y=6.27504730224609, Z=6.30857801437378) | HR=128 bpm | IBI=0 ms | Participant=P03
Row 3369 | Timestamp: 1710826460860 ms | PPG(Green=2158112, Red=2158112, Ir=2158112) | ACC(X=4.76376676559448, Y=6.11457824707031, Z=6.11218357086182) | HR=128 bpm | IBI=0 ms | Participant=P03
Row 3370 | Timestamp: 1710826460900 ms | PPG(Green=2158964, Red=2158964, Ir=2158964) | ACC(X=4.76855707168579, Y=6.16726970672607, Z=6.14810943603516) | HR=128 bpm | IBI=0 ms | Participant=P03
Row 3371 | Timestamp: 1710826460940 ms | PPG(Green=2159451, Red=2159451, Ir=2159451) | ACC(X=4.79969263076782, Y=6.11218357086182, Z=6.1457142829895) | HR=129 bpm | IBI=0 ms | Participant=P03
Row 3372 | Timestamp: 1710826460980 ms | PPG(Green=2159123, Red=2159123, Ir=2159123) | ACC(X=4.74700117111206, Y=6.17206001281738, Z=6.11936855316162) | HR=130 bpm | IBI=0 ms | Participant=P03
Row 3373 | Timestamp: 1710826461021 ms | PPG(Green=2158471, Red=2158471, Ir=2158471) | ACC(X=4.74221134185791, Y=6.11936855316162, Z=6.08823299407959) | HR=129 bpm | IBI=0 ms | Participant=P03
Row 3374 | Timestamp: 1710826461061 ms | PPG(Green=2158042, Red=2158042, Ir=2158042) | ACC(X=4.78771734237671, Y=6.18882513046265, Z=6.15289926528931) | HR=130 bpm | IBI=0 ms | Participant=P03
Row 3375 | Timestamp: 1710826461101 ms | PPG(Green=2157981, Red=2157981, Ir=2157981) | ACC(X=4.73981618881226, Y=6.18642997741699, Z=6.15050411224365) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3376 | Timestamp: 1710826461141 ms | PPG(Green=2158485, Red=2158485, Ir=2158485) | ACC(X=4.79250764846802, Y=6.12894868850708, Z=6.14810943603516) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3377 | Timestamp: 1710826461182 ms | PPG(Green=2159344, Red=2159344, Ir=2159344) | ACC(X=4.75179147720337, Y=6.13134384155273, Z=6.11218357086182) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3378 | Timestamp: 1710826461223 ms | PPG(Green=2160393, Red=2160393, Ir=2160393) | ACC(X=4.75897645950317, Y=6.13613414764404, Z=6.1840353012085) | HR=129 bpm | IBI=0 ms | Participant=P03
Row 3379 | Timestamp: 1710826461262 ms | PPG(Green=2161613, Red=2161613, Ir=2161613) | ACC(X=4.76137161254883, Y=6.13613414764404, Z=6.13852882385254) | HR=129 bpm | IBI=0 ms | Participant=P03
Row 3380 | Timestamp: 1710826461303 ms | PPG(Green=2162676, Red=2162676, Ir=2162676) | ACC(X=4.76137161254883, Y=6.16966485977173, Z=6.16487455368042) | HR=128 bpm | IBI=0 ms | Participant=P03
Row 3381 | Timestamp: 1710826461343 ms | PPG(Green=2164060, Red=2164060, Ir=2164060) | ACC(X=4.79729747772217, Y=6.11697340011597, Z=6.16247940063477) | HR=128 bpm | IBI=0 ms | Participant=P03
Row 3382 | Timestamp: 1710826461383 ms | PPG(Green=2165927, Red=2165927, Ir=2165927) | ACC(X=4.79250764846802, Y=6.12415885925293, Z=6.16247940063477) | HR=128 bpm | IBI=0 ms | Participant=P03
Row 3383 | Timestamp: 1710826461424 ms | PPG(Green=2168124, Red=2168124, Ir=2168124) | ACC(X=4.75418663024902, Y=6.23433113098145, Z=6.21996068954468) | HR=129 bpm | IBI=0 ms | Participant=P03
Row 3384 | Timestamp: 1710826461464 ms | PPG(Green=2170256, Red=2170256, Ir=2170256) | ACC(X=4.70628547668457, Y=6.2367262840271, Z=6.21996068954468) | HR=129 bpm | IBI=0 ms | Participant=P03
Row 3385 | Timestamp: 1710826461504 ms | PPG(Green=2172214, Red=2172214, Ir=2172214) | ACC(X=4.7805323600769, Y=6.13613414764404, Z=6.08104753494263) | HR=129 bpm | IBI=0 ms | Participant=P03
Row 3386 | Timestamp: 1710826461544 ms | PPG(Green=2173810, Red=2173810, Ir=2173810) | ACC(X=4.76137161254883, Y=6.12415885925293, Z=6.14810943603516) | HR=129 bpm | IBI=0 ms | Participant=P03
Row 3387 | Timestamp: 1710826461584 ms | PPG(Green=2170843, Red=2170843, Ir=2170843) | ACC(X=4.79490232467651, Y=6.20080041885376, Z=6.15289926528931) | HR=129 bpm | IBI=0 ms | Participant=P03
Row 3388 | Timestamp: 1710826461625 ms | PPG(Green=2164224, Red=2164224, Ir=2164224) | ACC(X=4.81166791915894, Y=6.09302282333374, Z=6.11697340011597) | HR=130 bpm | IBI=0 ms | Participant=P03
Row 3389 | Timestamp: 1710826461665 ms | PPG(Green=2158455, Red=2158455, Ir=2158455) | ACC(X=4.69910001754761, Y=6.20559072494507, Z=6.17684984207153) | HR=130 bpm | IBI=0 ms | Participant=P03
Row 3390 | Timestamp: 1710826461705 ms | PPG(Green=2155108, Red=2155108, Ir=2155108) | ACC(X=4.78771734237671, Y=6.06428241729736, Z=6.16966485977173) | HR=130 bpm | IBI=0 ms | Participant=P03
Row 3391 | Timestamp: 1710826461745 ms | PPG(Green=2153356, Red=2153356, Ir=2153356) | ACC(X=4.68233489990234, Y=6.27744245529175, Z=6.15050411224365) | HR=131 bpm | IBI=0 ms | Participant=P03
Row 3392 | Timestamp: 1710826461786 ms | PPG(Green=2152443, Red=2152443, Ir=2152443) | ACC(X=4.70389032363892, Y=6.31097316741943, Z=6.16726970672607) | HR=131 bpm | IBI=0 ms | Participant=P03
Row 3393 | Timestamp: 1710826461827 ms | PPG(Green=2152013, Red=2152013, Ir=2152013) | ACC(X=4.77334690093994, Y=6.19361543655396, Z=6.20319557189941) | HR=131 bpm | IBI=0 ms | Participant=P03
Row 3394 | Timestamp: 1710826461866 ms | PPG(Green=2151250, Red=2151250, Ir=2151250) | ACC(X=4.7374210357666, Y=6.11697340011597, Z=6.16247940063477) | HR=130 bpm | IBI=0 ms | Participant=P03
Row 3395 | Timestamp: 1710826461906 ms | PPG(Green=2150024, Red=2150024, Ir=2150024) | ACC(X=4.7805323600769, Y=6.20559072494507, Z=6.11697340011597) | HR=130 bpm | IBI=0 ms | Participant=P03
Row 3396 | Timestamp: 1710826461946 ms | PPG(Green=2148522, Red=2148522, Ir=2148522) | ACC(X=4.70628547668457, Y=6.1457142829895, Z=6.13852882385254) | HR=130 bpm | IBI=0 ms | Participant=P03
Row 3397 | Timestamp: 1710826461987 ms | PPG(Green=2147831, Red=2147831, Ir=2147831) | ACC(X=4.73981618881226, Y=6.17924499511719, Z=6.1002082824707) | HR=130 bpm | IBI=0 ms | Participant=P03
Row 3398 | Timestamp: 1710826462028 ms | PPG(Green=2147735, Red=2147735, Ir=2147735) | ACC(X=4.69431018829346, Y=6.17684984207153, Z=6.1840353012085) | HR=129 bpm | IBI=0 ms | Participant=P03
Row 3399 | Timestamp: 1710826462067 ms | PPG(Green=2148018, Red=2148018, Ir=2148018) | ACC(X=4.79011249542236, Y=6.27504730224609, Z=6.13613414764404) | HR=129 bpm | IBI=0 ms | Participant=P03
Row 3400 | Timestamp: 1710826462108 ms | PPG(Green=2148841, Red=2148841, Ir=2148841) | ACC(X=4.7757420539856, Y=6.15050411224365, Z=6.15768957138062) | HR=128 bpm | IBI=0 ms | Participant=P03
Row 3401 | Timestamp: 1710826462148 ms | PPG(Green=2149751, Red=2149751, Ir=2149751) | ACC(X=4.68712472915649, Y=6.16247940063477, Z=6.13134384155273) | HR=127 bpm | IBI=0 ms | Participant=P03
Row 3402 | Timestamp: 1710826462188 ms | PPG(Green=2150923, Red=2150923, Ir=2150923) | ACC(X=4.7302360534668, Y=6.16726970672607, Z=6.20798587799072) | HR=127 bpm | IBI=0 ms | Participant=P03
Row 3403 | Timestamp: 1710826462229 ms | PPG(Green=2151904, Red=2151904, Ir=2151904) | ACC(X=4.79250764846802, Y=6.09302282333374, Z=6.09302282333374) | HR=126 bpm | IBI=0 ms | Participant=P03
Row 3404 | Timestamp: 1710826462269 ms | PPG(Green=2152996, Red=2152996, Ir=2152996) | ACC(X=4.72065591812134, Y=6.13134384155273, Z=6.19601058959961) | HR=125 bpm | IBI=0 ms | Participant=P03
Row 3405 | Timestamp: 1710826462309 ms | PPG(Green=2154187, Red=2154187, Ir=2154187) | ACC(X=4.71586561203003, Y=6.19361543655396, Z=6.1912202835083) | HR=125 bpm | IBI=0 ms | Participant=P03
Row 3406 | Timestamp: 1710826462349 ms | PPG(Green=2155475, Red=2155475, Ir=2155475) | ACC(X=4.70628547668457, Y=6.12415885925293, Z=6.15768957138062) | HR=125 bpm | IBI=0 ms | Participant=P03
Row 3407 | Timestamp: 1710826462389 ms | PPG(Green=2156581, Red=2156581, Ir=2156581) | ACC(X=4.71107530593872, Y=6.22235584259033, Z=6.22714614868164) | HR=126 bpm | IBI=0 ms | Participant=P03
Row 3408 | Timestamp: 1710826462430 ms | PPG(Green=2157957, Red=2157957, Ir=2157957) | ACC(X=4.6919150352478, Y=6.23193597793579, Z=6.17684984207153) | HR=126 bpm | IBI=0 ms | Participant=P03
Row 3409 | Timestamp: 1710826462470 ms | PPG(Green=2159438, Red=2159438, Ir=2159438) | ACC(X=4.74939632415771, Y=6.20798587799072, Z=6.10978841781616) | HR=126 bpm | IBI=0 ms | Participant=P03
Row 3410 | Timestamp: 1710826462510 ms | PPG(Green=2159470, Red=2159470, Ir=2159470) | ACC(X=4.71347045898438, Y=6.12415885925293, Z=6.16726970672607) | HR=127 bpm | IBI=0 ms | Participant=P03
Row 3411 | Timestamp: 1710826462550 ms | PPG(Green=2153713, Red=2153713, Ir=2153713) | ACC(X=4.7757420539856, Y=6.15289926528931, Z=6.14092397689819) | HR=127 bpm | IBI=0 ms | Participant=P03
Row 3412 | Timestamp: 1710826462590 ms | PPG(Green=2145677, Red=2145677, Ir=2145677) | ACC(X=4.70389032363892, Y=6.10739326477051, Z=6.15529441833496) | HR=127 bpm | IBI=0 ms | Participant=P03
Row 3413 | Timestamp: 1710826462632 ms | PPG(Green=2139671, Red=2139671, Ir=2139671) | ACC(X=4.66796445846558, Y=6.16487455368042, Z=6.13613414764404) | HR=128 bpm | IBI=0 ms | Participant=P03
Row 3414 | Timestamp: 1710826462671 ms | PPG(Green=2136035, Red=2136035, Ir=2136035) | ACC(X=4.73981618881226, Y=6.16487455368042, Z=6.15289926528931) | HR=128 bpm | IBI=0 ms | Participant=P03
Row 3415 | Timestamp: 1710826462713 ms | PPG(Green=2134017, Red=2134017, Ir=2134017) | ACC(X=4.65598917007446, Y=6.19361543655396, Z=6.15768957138062) | HR=128 bpm | IBI=0 ms | Participant=P03
Row 3416 | Timestamp: 1710826462753 ms | PPG(Green=2132791, Red=2132791, Ir=2132791) | ACC(X=4.74221134185791, Y=6.16247940063477, Z=6.15768957138062) | HR=129 bpm | IBI=0 ms | Participant=P03
Row 3417 | Timestamp: 1710826462793 ms | PPG(Green=2132186, Red=2132186, Ir=2132186) | ACC(X=4.70628547668457, Y=6.20559072494507, Z=6.20319557189941) | HR=130 bpm | IBI=0 ms | Participant=P03
Row 3418 | Timestamp: 1710826462834 ms | PPG(Green=2131407, Red=2131407, Ir=2131407) | ACC(X=4.68712472915649, Y=6.16966485977173, Z=6.16008472442627) | HR=131 bpm | IBI=0 ms | Participant=P03
Row 3419 | Timestamp: 1710826462873 ms | PPG(Green=2130105, Red=2130105, Ir=2130105) | ACC(X=4.7757420539856, Y=6.13852882385254, Z=6.22475099563599) | HR=131 bpm | IBI=0 ms | Participant=P03
Row 3420 | Timestamp: 1710826462913 ms | PPG(Green=2128805, Red=2128805, Ir=2128805) | ACC(X=4.7374210357666, Y=6.15289926528931, Z=6.16247940063477) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3421 | Timestamp: 1710826462954 ms | PPG(Green=2128181, Red=2128181, Ir=2128181) | ACC(X=4.72065591812134, Y=6.16247940063477, Z=6.12655353546143) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3422 | Timestamp: 1710826462994 ms | PPG(Green=2128085, Red=2128085, Ir=2128085) | ACC(X=4.72305059432983, Y=6.20080041885376, Z=6.19840526580811) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3423 | Timestamp: 1710826463035 ms | PPG(Green=2128648, Red=2128648, Ir=2128648) | ACC(X=4.72065591812134, Y=6.18642997741699, Z=6.17684984207153) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3424 | Timestamp: 1710826463074 ms | PPG(Green=2129476, Red=2129476, Ir=2129476) | ACC(X=4.70868062973022, Y=6.17924499511719, Z=6.15529441833496) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3425 | Timestamp: 1710826463114 ms | PPG(Green=2130552, Red=2130552, Ir=2130552) | ACC(X=4.7374210357666, Y=6.2439112663269, Z=6.16966485977173) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3426 | Timestamp: 1710826463154 ms | PPG(Green=2131711, Red=2131711, Ir=2131711) | ACC(X=4.66556930541992, Y=6.21038055419922, Z=6.19361543655396) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3427 | Timestamp: 1710826463195 ms | PPG(Green=2132850, Red=2132850, Ir=2132850) | ACC(X=4.64401388168335, Y=6.20319557189941, Z=6.16008472442627) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3428 | Timestamp: 1710826463236 ms | PPG(Green=2134105, Red=2134105, Ir=2134105) | ACC(X=4.73263120651245, Y=6.19601058959961, Z=6.17924499511719) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3429 | Timestamp: 1710826463275 ms | PPG(Green=2135224, Red=2135224, Ir=2135224) | ACC(X=4.72305059432983, Y=6.21038055419922, Z=6.15529441833496) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3430 | Timestamp: 1710826463315 ms | PPG(Green=2136525, Red=2136525, Ir=2136525) | ACC(X=4.73263120651245, Y=6.15768957138062, Z=6.14810943603516) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3431 | Timestamp: 1710826463355 ms | PPG(Green=2137877, Red=2137877, Ir=2137877) | ACC(X=4.69910001754761, Y=6.22235584259033, Z=6.17684984207153) | HR=134 bpm | IBI=0 ms | Participant=P03
Row 3432 | Timestamp: 1710826463395 ms | PPG(Green=2139268, Red=2139268, Ir=2139268) | ACC(X=4.65838432312012, Y=6.21517086029053, Z=6.18882513046265) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3433 | Timestamp: 1710826463436 ms | PPG(Green=2140676, Red=2140676, Ir=2140676) | ACC(X=4.75418663024902, Y=6.18882513046265, Z=6.13134384155273) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3434 | Timestamp: 1710826463476 ms | PPG(Green=2142099, Red=2142099, Ir=2142099) | ACC(X=4.64880418777466, Y=6.21996068954468, Z=6.16966485977173) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3435 | Timestamp: 1710826463516 ms | PPG(Green=2139616, Red=2139616, Ir=2139616) | ACC(X=4.79490232467651, Y=6.17924499511719, Z=6.20080041885376) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3436 | Timestamp: 1710826463556 ms | PPG(Green=2131968, Red=2131968, Ir=2131968) | ACC(X=4.79729747772217, Y=6.13373899459839, Z=6.19361543655396) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3437 | Timestamp: 1710826463596 ms | PPG(Green=2124061, Red=2124061, Ir=2124061) | ACC(X=4.62485361099243, Y=6.1912202835083, Z=6.13613414764404) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3438 | Timestamp: 1710826463637 ms | PPG(Green=2119078, Red=2119078, Ir=2119078) | ACC(X=4.6919150352478, Y=6.20080041885376, Z=6.15768957138062) | HR=0 bpm | IBI=0 ms | Participant=P03
Row 3439 | Timestamp: 1710826463677 ms | PPG(Green=2116308, Red=2116308, Ir=2116308) | ACC(X=4.60329818725586, Y=6.19601058959961, Z=6.25109672546387) | HR=0 bpm | IBI=0 ms | Participant=P03
